tweet_id,source,text,rating_numerator,rating_denominator,name,favorites,retweets,user_followers,user_favourites,jpg_url,dog_stage,year,month,day,rating,dog_type,confidence_list
1100394498,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,32764,6181,7434157,139632,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,None,2017,8,1,13.0,Chihuahua,0.323581
-1286119424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,24670,4090,7434157,139632,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,None,2017,7,31,12.0,Chihuahua,0.716012
-1885904896,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,41544,8508,7434157,139632,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,None,2017,7,30,13.0,Labrador_retriever,0.168086
1079468032,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,39727,9216,7434157,139632,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,None,2017,7,29,12.0,basset,0.555712
664186880,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,None,19942,3065,7434157,139632,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,None,2017,7,29,13.0,Chesapeake_Bay_retriever,0.425595
93716482,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,11672,2034,7434157,139632,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,None,2017,7,28,13.0,Appenzeller,0.34170300000000003
-1592303616,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,None,64485,18579,7434157,139632,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,None,2017,7,28,13.0,Pomeranian,0.566142
-761946112,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,27409,4206,7434157,139632,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,None,2017,7,27,13.0,Irish_terrier,0.487574
1817575424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,30237,7220,7434157,139632,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,None,2017,7,26,13.0,Samoyed,0.957979
-417943551,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,27393,4899,7434157,139632,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,None,2017,7,25,13.0,French_bulldog,0.377417
